"finished","consent","academic_yes_no","research_yes_no","gender","title","discipline","last_published","academia_length","phd_dissertation","bat_1","bat_2","bat_3","bat_4","ppqr_1","ppqr_2","ppqr_3","ppqr_4","ppqr_5","ppqr_6","ppqr_7","ppqr_8","ppqr_9","ppqr_10","ppqr_11","ppqr_12","ppqr_13","ppqr_14","ppqr_15","ppqr_16","ppqr_17","ppqr_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_workload_5","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","attention_2","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_2","role_ambiguity_3","role_ambiguity_4","role_ambiguity_5","role_ambiguity_6","role_ambiguity_7","role_ambiguity_8","role_ambiguity_9","role_ambiguity_10","role_ambiguity_11","role_ambiguity_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","open_time","anonym_id","attention"
TRUE,TRUE,TRUE,TRUE,"Woman","Full Professor","Non-STEM","This year","More than 10 years","","Often","Sometimes","Rarely","Sometimes","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Strongly disagree","Agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Often","Often","Often","Never","Rarely","Sometimes","Rarely","Never","Often","Always","Rarely","Often","Always","Sometimes","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Sometimes","Rarely","Often","Sometimes","Often","Sometimes","Sometimes","Agree","Slightly agree","Neither agree nor disagree","Agree","Slightly agree","Agree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Slightly disagree","Strongly disagree","Slightly satisfied","Slightly satisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Disagree",11,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Associate Professor","Non-STEM","This year","More than 10 years","","Sometimes","Rarely","Sometimes","Rarely","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Often","Sometimes","Sometimes","Rarely","Rarely","Always","Sometimes","Rarely","Sometimes","Often","Sometimes","Always","Always","Always","Strongly agree","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Often","Always","Always","Always","Always","Always","Often","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Slightly agree","Agree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly disagree","Disagree","Dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Satisfied","Very satisfied","Slightly satisfied","Agree",12,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Post Doc","Non-STEM","In the last year","6-10 years","","Sometimes","Often","Often","Rarely","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Often","Often","Often","Rarely","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Always","Sometimes","Often","Often","Always","Strongly agree","Somewhat unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat acceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Often","Often","Sometimes","Often","Often","Often","Sometimes","Sometimes","Slightly disagree","Agree","Disagree","Disagree","Agree","Disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Slightly agree","Disagree","Neither agree nor disagree","Satisfied","Satisfied","Satisfied","Satisfied","Slightly dissatisfied","Slightly dissatisfied","Agree",13,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles","Rarely","Rarely","Rarely","Sometimes","Strongly disagree","Strongly agree","Neither agree nor disagree","Disagree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Rarely","Sometimes","Often","Rarely","Rarely","Always","Always","Always","Sometimes","Rarely","Rarely","Always","Always","Always","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Always","Always","Always","Always","Always","Always","Always","Agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Disagree","Dissatisfied","Dissatisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Very satisfied","Agree",14,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Never","Never","Sometimes","Strongly disagree","Neither agree nor disagree","Agree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Disagree","Agree","Agree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Always","Rarely","Always","Rarely","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Always","Sometimes","Sometimes","Strongly agree","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Completely acceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Often","Sometimes","Slightly agree","Strongly agree","Slightly disagree","Slightly disagree","Slightly agree","Slightly agree","Slightly agree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly agree","Slightly satisfied","Slightly satisfied","Very dissatisfied","Slightly dissatisfied","Dissatisfied","Dissatisfied","Agree",15,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","1-2 articles","Rarely","Rarely","Rarely","Rarely","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Always","Sometimes","Sometimes","Sometimes","Rarely","Often","Sometimes","Sometimes","Sometimes","Often","Often","Rarely","Often","Sometimes","Strongly disagree","Neither acceptable or unacceptable","Completely unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat acceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Often","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Neither agree nor disagree","Slightly agree","Agree","Agree","Slightly agree","Agree","Agree","Slightly agree","Slightly agree","Slightly agree","Slightly agree","Neither agree nor disagree","Slightly dissatisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Agree",16,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","6-10 years","3-4 articles","Rarely","Rarely","Rarely","Sometimes","Disagree","Neither agree nor disagree","Disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat disagree","Strongly agree","Rarely","Sometimes","Sometimes","Often","Rarely","Always","Rarely","Rarely","Often","Always","Often","Always","Always","Always","Strongly agree","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely acceptable","Completely unacceptable","Completely acceptable","Somewhat unacceptable","Often","Sometimes","Never","Often","Sometimes","Often","Often","Sometimes","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Slightly agree","Slightly agree","Strongly agree","Disagree","Strongly disagree","Neither agree nor disagree","Disagree","Neither satisfied nor dissatisfied","Slightly dissatisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Agree",17,"Passed"
TRUE,TRUE,FALSE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18,"Failed"
TRUE,TRUE,TRUE,TRUE,"Woman","Post Doc","Non-STEM","This year","6-10 years","","Sometimes","Rarely","Rarely","Rarely","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Often","Often","Sometimes","Sometimes","Rarely","Always","Always","Often","Always","Often","Sometimes","Often","Often","Often","Strongly disagree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Often","Often","Often","Often","Always","Always","Sometimes","Often","Agree","Neither agree nor disagree","Slightly disagree","Agree","Disagree","Slightly agree","Agree","Slightly disagree","Disagree","Disagree","Disagree","Disagree","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Agree",19,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Post Doc","Non-STEM","This year","6-10 years","","Rarely","Rarely","Never","Sometimes","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Strongly disagree","Agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Rarely","Often","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Often","Often","Rarely","Sometimes","Often","Sometimes","Strongly agree","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Agree","Disagree","Agree","Agree","Disagree","Neither agree nor disagree","Slightly agree","Slightly agree","Disagree","Disagree","Agree","Disagree","Neither satisfied nor dissatisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Agree",20,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles","Sometimes","Rarely","Rarely","Sometimes","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Rarely","Often","Rarely","Always","Always","Often","Always","Always","Often","Always","Always","Always","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Often","Often","Sometimes","Sometimes","Often","Often","Often","Often","Agree","Slightly disagree","Agree","Agree","Disagree","Agree","Slightly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree",21,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Never","Rarely","Rarely","Agree","Agree","Agree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Often","Sometimes","Sometimes","Often","Rarely","Sometimes","Often","Sometimes","Often","Often","Sometimes","Often","Often","Often","Strongly disagree","Neither acceptable or unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Always","Always","Often","Often","Sometimes","Often","Often","Always","Agree","Slightly agree","Agree","Slightly agree","Neither agree nor disagree","Slightly agree","Agree","Slightly agree","Disagree","Disagree","Slightly agree","Disagree","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Agree",22,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Associate Professor","Non-STEM","This year","More than 10 years","","Often","Sometimes","Never","Sometimes","Disagree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Sometimes","Often","Sometimes","Often","Rarely","Sometimes","Often","Rarely","Often","Often","Often","Often","Often","Often","Strongly agree","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Often","Always","Sometimes","Often","Often","Often","Often","Often","Strongly agree","Disagree","Slightly agree","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Satisfied","Satisfied","Dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Disagree",23,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","6-10 years","","Sometimes","Rarely","Rarely","Often","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Often","Often","Sometimes","Often","Often","Often","Sometimes","Often","Sometimes","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Always","Always","Always","Always","Often","Always","Always","Always","Agree","Neither agree nor disagree","Slightly agree","Agree","Agree","Slightly agree","Agree","Slightly agree","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Neither agree nor disagree","Slightly satisfied","Slightly satisfied","Very dissatisfied","Dissatisfied","Slightly dissatisfied","Dissatisfied","Agree",24,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","More than 4 articles","Often","Sometimes","Sometimes","Sometimes","Disagree","Strongly agree","Agree","Disagree","Strongly disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Always","Often","Sometimes","Sometimes","Rarely","Always","Often","Always","Sometimes","Often","Often","Often","Always","Often","Strongly agree","Completely acceptable","Neither acceptable or unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Sometimes","Sometimes","Never","Never","Rarely","Sometimes","Often","Often","Disagree","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Strongly agree","Disagree","Agree","Agree","Slightly agree","Slightly agree","Agree","Strongly disagree","Slightly dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Satisfied","Satisfied","Agree",25,"Passed"
